EWO,,Calculation of lateral (wind) speed vs altitude,,,,,Using Vicenty's formula for oblate sphere,,,,,,,,,,,,,,,,,,,
Note:  Assuming Earth is an oblate sphere,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
equatorial radius = a,6378.137,Km,,,,,,variation of,,,,,,,,,,,,,,,,,,
polar radius = b,6356.7523,Km,,,,,,radius with latitude,,,difference in latitude ,,,,,,,,,,,,,,,
,,,,,,,,,,,between to positions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,angular difference,,,,,x > 0,,,,,,,,,,,,,
,,,,,,,,between two positions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,x < 0,,,,,,,,,,,,,
,,,,,,,,,,lateral,,,,,,,,,,,,,,,,
,,,,,geodesic distance on globe,,,,,windspeed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,lateral,lateral,vertical,net,,max lateral  speed,39.82689588226184,mph
,φ (degrees),λ (degrees),altitude,altitude,,,,total,elapse,φ,λ,R (φ),Δλ,y,x,Δσ,Ravg,d,speed,speed,speed,speed,,max ascent vertical speed,24.713426868686835,mph
time,latitude,longitude,(m),(ft),hour,minute,second,sec,time (s),(radians),(radians),(Km),(radians),,,(radians),(Km),(Km),(Km/s),(mph),(mph),(mph),,max descent vertical speed,-63.563466446281105,mph
2026-03-28 16:38:54,32.87533,-112.0495,418.8,1373.99904,16,38,54,59934,0,0.5737827511796674,-1.9556327002133862,6371.873335872879,,,,,,,,,,,,max net speed,63.665425116360865,mph
2026-03-28 16:45:59,32.87517,-112.05,445.62,1461.990096,16,45,59,60359,425,0.5737799586528642,-1.9556414268596463,6371.873390132855,8.726646260059923e-06,7.843092189634838e-06,0.9999999999692429,7.843092189715247e-06,6371.873363002867,0.049975190207222416,,,,,,,,
2026-03-28 16:46:31,32.87517,-112.0535,648.61,2127.959688,16,46,31,60391,457,0.5737799586528642,-1.955702513383466,6371.873390132855,6.108652381975332e-05,5.130383334890655e-05,0.9999999986839585,5.1303833371412535e-05,6371.873390132855,0.3269015306711135,0.0005050115410792175,1.1299201664917236,1.1248666918639345,1.5943790819969998,,,,
2026-03-28 16:47:04,32.87533,-112.0565,847.65,2780.9701199999995,16,47,4,60424,490,0.5737827511796674,-1.9557548732610257,6371.873335872879,5.23598775596934e-05,4.40632524211458e-05,0.9999999990292149,4.406325243540445e-05,6371.873363002867,0.28076546448042483,-0.0013858017088877815,-3.1006128974493556,13.835454797202791,14.178632154946083,,,,
2026-03-28 16:47:36,32.87617,-112.05883,1062.53,3485.9484239999997,16,47,36,60456,522,0.5737974119453843,-1.9557955394325972,6371.873051005716,4.0666171571501764e-05,3.716715828286187e-05,0.9999999993093012,3.716715829141898e-05,6371.873193439297,0.2368244195934077,-0.0022125259611669003,-4.950337762710281,14.244637090909087,15.080302709714363,,,,
2026-03-28 16:47:53,32.87667,-112.06017,1186.59,3892.964471999999,16,47,53,60473,539,0.5738061385916441,-1.955818926844574,6371.872881440112,2.3387411976827366e-05,2.1493095942120357e-05,0.9999999997690232,2.149309594377516e-05,6371.872966222914,0.13695127700457632,-0.0017570420223561142,-3.9312313738235,15.473019740259733,15.964614620998578,,,,
2026-03-28 16:48:11,32.87717,-112.06167,1311.55,4302.933239999999,16,48,11,60491,557,0.5738148652379041,-1.9558451067833542,6371.872711873153,2.6179938780179768e-05,2.3655425224902385e-05,0.9999999997202105,2.3655425227108563e-05,6371.872796656633,0.1507293604979581,0.006330002357043504,14.162839332104793,15.915288623376616,21.304516655216464,,,,
2026-03-28 16:48:42,32.879,-112.06483,1537.41,5043.934728,16,48,42,60522,588,0.5738468047632156,-1.955900259187717,6371.872091246523,5.515240436282376e-05,5.626311023180502e-05,0.9999999984172312,5.626311026148885e-05,6371.872401559838,0.35850135950109896,-0.00015690372110189097,-0.35105866747470943,16.015356066790364,16.01920323031355,,,,
2026-03-28 16:48:58,32.87983,-112.066,1655.37,5430.9378959999995,16,48,58,60538,604,0.5738612909960071,-1.9559206795399655,6371.871809754143,2.0420352248473606e-05,2.244883124820474e-05,0.9999999997480249,2.2448831250090255e-05,6371.871950500334,0.14304107816396544,-0.001989724416885742,-4.451838347289417,16.363703907156673,16.95846898253174,,,,
2026-03-28 16:50:03,32.88,-112.06883,2102.21,6896.930568,16,50,3,60603,669,0.5738642580557356,-1.9559700723577969,6371.8717520986165,4.939281783133964e-05,4.1586573136059694e-05,0.9999999991352784,4.158657314804663e-05,6371.87178092638,0.2649843119074691,-0.0010550997370319855,-2.3606954961560893,15.597608080808076,15.775242028826723,,,,
2026-03-28 16:50:20,32.8795,-112.06867,2200.35,7218.908279999999,16,50,20,60620,686,0.5738555314094756,-1.9559672798309935,6371.871921673249,-2.792526803352402e-06,9.036277084275224e-06,0.9999999999591729,9.0362770843982e-06,6371.871836885933,0.05757799946437461,-0.0011606532258279644,-2.5968624070731336,14.866716053215072,15.091817006848194,,,,
2026-03-28 16:50:52,32.878,-112.06833,2418.28,7933.893023999999,16,50,52,60652,718,0.5738293514706956,-1.955961345711537,6371.872430389007,-5.934119456485476e-06,2.665005553756196e-05,0.9999999996448872,2.6650055540716554e-05,6371.872176031127,0.169810747389576,0.001019289643101282,2.280573471202371,14.428976660482363,14.608093059201696,,,,
2026-03-28 16:51:09,32.87733,-112.0675,2531.06,8303.901648,16,51,9,60669,735,0.5738176577647073,-1.9559468594787452,6371.87265761144,-1.4486232791766085e-05,1.6874661448223513e-05,0.9999999998576228,1.6874661449024372e-05,6371.872544000224,0.10752319197633743,-0.001715141736088398,-3.8374830639640973,15.097310315398891,15.57738922366842,,,,
2026-03-28 16:51:25,32.877,-112.06667,2643.23,8671.908984,16,51,25,60685,751,0.5738118981781758,-1.9559323732459537,6371.872769526071,-1.448623279154404e-05,1.3460532903617455e-05,0.999999999909407,1.3460532904023931e-05,6371.872713568756,0.0857688023212445,0.0022152262591898604,4.956379448777811,15.248263636363648,16.033566077586013,,,,
2026-03-28 16:51:57,32.8765,-112.06483,2846.22,9337.878576,16,51,57,60717,783,0.5738031715319157,-1.955900259187717,6371.87293909257,-3.2114058236665244e-05,2.8347341925263634e-05,0.9999999995982141,2.8347341929060158e-05,6371.87285430932,0.18062565852960283,0.00019842802108856368,0.44396574016086343,14.687172272727272,14.693880867463346,,,,
2026-03-28 16:52:14,32.87633,-112.06383,2959,9707.8872,16,52,14,60734,800,0.5738002044721874,-1.9558828058951971,6371.872996744871,-1.74532925198978e-05,1.4955311854101433e-05,0.9999999998881695,1.495531185465892e-05,6371.87296791872,0.09529334733349555,-0.0014751546047605158,-3.300532366151558,14.415281298701291,14.788301079593328,,,,
2026-03-28 16:52:30,32.87633,-112.06267,3064.15,10052.86332,16,52,30,60750,816,0.5738002044721874,-1.955862560075874,6371.872996744871,-2.0245819323250203e-05,1.7003333705248838e-05,0.9999999998554434,1.7003333706068153e-05,6371.872996744871,0.10834308289633755,0.004669167931546153,10.446864234658888,14.772412066115725,18.093123848261154,,,,
2026-03-28 16:53:03,32.87633,-112.06,3285.13,10777.854503999999,16,53,3,60783,849,0.5738002044721874,-1.9558159597848455,6371.872996744871,-4.660029102843133e-05,3.9136983605645134e-05,0.9999999992341484,3.913698361563617e-05,6371.872996744871,0.24937588907451858,0.0003240380733472867,0.7250074978559553,14.88822779220779,14.905870074055247,,,,
2026-03-28 16:53:19,32.87633,-112.05867,3400.96,11157.869568,16,53,19,60799,865,0.5738002044721874,-1.9557927469057943,6371.872996744871,-2.3212879051159874e-05,1.9495201575101292e-05,0.9999999998099687,1.9495201576336188e-05,6371.872996744871,0.1242209484903546,-0.0027294336065461977,-6.106874445970361,15.375782671614095,16.54414120658894,,,,
2026-03-28 16:53:36,32.87667,-112.0575,3504.9,11498.87592,16,53,36,60816,882,0.5738061385916441,-1.9557723265535458,6371.872881440112,-2.0420352248473606e-05,1.814751227036818e-05,0.9999999998353339,1.8147512271364272e-05,6371.872939092491,0.11563364235375491,0.005633543570647904,12.604572314687667,14.897136694214904,19.514095544562526,,,,
2026-03-28 16:54:08,32.8775,-112.05433,3732.89,12246.865511999998,16,54,8,60848,914,0.5738206248244356,-1.9557169996162573,6371.8725999582175,-5.532693728849125e-05,4.86713873330217e-05,0.9999999988155479,4.867138735223801e-05,6371.872740699165,0.31012788632173544,0.011244284551909102,25.15812578425902,15.153004786641905,29.36911382797566,,,,
2026-03-28 16:55:13,32.87867,-112.04733,4182.77,13722.831816,16,55,13,60913,979,0.573841045176684,-1.955594826568618,6371.872203164143,-0.0001221730476392846,0.00010461659339223749,0.9999999945276843,0.00010461659358306916,6371.872401561181,0.6666035853973009,-0.0017413138301890455,-3.896040887930742,15.632304798500464,16.110496203210154,,,,
2026-03-28 16:55:30,32.87883,-112.04583,4285.79,14060.819831999997,16,55,30,60930,996,0.5738438377034872,-1.955568646629838,6371.872148901128,-2.6179938779957723e-05,2.216310071520704e-05,0.9999999997543986,2.2163100717021465e-05,6371.872176032635,0.14122044479339801,-0.00612068026207546,-13.694499032611347,15.082768736141897,20.37226586568447,,,,
2026-03-28 16:55:46,32.87933,-112.04417,4385.77,14388.834216,16,55,46,60946,1012,0.5738525643497473,-1.9555396741642548,6371.871979328313,-2.8972465583310125e-05,2.5849201338547982e-05,0.9999999996659095,2.5849201341426637e-05,6371.87206411472,0.16470780390711315,0.005962708792919242,13.341051370111419,13.760380165289243,19.165899768944772,,,,
2026-03-28 16:56:19,32.8805,-112.04083,4620.77,15159.822216,16,56,19,60979,1045,0.5738729847019954,-1.9554813801672384,6371.871582522632,-5.829399701640092e-05,5.3044042068301556e-05,0.9999999985931647,5.3044042093176305e-05,6371.871780925472,0.337989834959733,0.000320909570697861,0.7180077405297077,15.292240964749578,15.309087785999061,,,,
2026-03-28 16:56:35,32.88133,-112.03917,4733.54,15529.798031999997,16,56,35,60995,1061,0.573887470934787,-1.9554524077016553,6371.871301023502,-2.897246558308808e-05,2.831701400381471e-05,0.9999999995990734,2.8317014007599056e-05,6371.871441773067,0.18043237287130834,-0.0031874836773175775,-7.131722335825531,15.876119888682712,17.404385832172864,,,,
2026-03-28 16:56:52,32.88217,-112.0375,4851.5,15916.801199999998,16,56,52,61012,1078,0.5739021317005039,-1.9554232607031468,6371.871016129016,-2.9146998508533528e-05,2.853214232083232e-05,0.9999999995929584,2.8532142324703578e-05,6371.871158576259,0.18180313477117171,0.017800409854044248,39.82689588226184,15.640061652892511,42.78776886123888,,,,
2026-03-28 16:57:57,32.88717,-112.03183,5308.4,17415.79872,16,57,57,61077,1143,0.5739893981631035,-1.9553243005345589,6371.869320249381,-9.896016858790269e-05,0.00012050557778621361,0.9999999927392029,0.00012050557807786911,6371.870168189199,0.7678458980547685,0.002640382520894464,5.907630251845911,15.68182390243904,16.757675736796955,,,,
2026-03-28 16:58:29,32.89017,-112.0295,5548.58,18203.781263999997,16,58,29,61109,1175,0.5740417580406633,-1.9552836343629874,6371.868302656581,-4.0666171571501764e-05,6.25114096054774e-05,0.9999999980461618,6.251140964618978e-05,6371.868811452981,0.39831450148451775,-0.005458005157734117,-12.211820116745072,16.075305042174314,20.18771861213383,,,,
2026-03-28 16:58:46,32.892,-112.02817,5662.27,18576.775416,16,58,46,61126,1192,0.5740736975659749,-1.955260421483936,6371.8676819010325,-2.321287905138192e-05,3.741750425272981e-05,0.9999999992999651,3.7417504261461e-05,6371.867992278807,0.23841939775455923,0.012860816521567868,28.774977922712445,16.15459224489798,32.99954855829859,,,,
2026-03-28 16:59:51,32.9005,-112.02383,6161.23,20213.763383999998,16,59,51,61191,1257,0.5742220505523944,-1.9551846741943992,6371.864798372504,-7.574728953674281e-05,0.0001614118168546551,0.9999999869731125,0.00016141181755555296,6371.866240136768,1.0284945110413433,0.010918461874935823,24.429125388296434,16.71271164079823,29.598934062320254,,,,
2026-03-28 17:00:56,32.90883,-112.01683,6650.13,21817.746504,17,0,56,61256,1322,0.5743674364790856,-1.9550625011467597,6371.861972135145,-0.00012217304763950665,0.00017792805604417478,0.9999999841708033,0.0001779280569829942,6371.863385253824,1.1337332714992967,-0.0007269522342017481,-1.6264935010107477,16.998100111888103,17.07573976501752,,,,
