,,,,,,,,,,
Date Time,Type,uSv/h,CPM,,,,,,,
2026-03-28 10:05:00,Every Second,1.086,167,,10,5,,36300,1620,29776.64
2026-03-28 10:06:00,Every Second,1.105,170,,10,6,,36360,1680,31420.940000000002
2026-03-28 10:07:00,Every Second,1.261,194,,10,7,,36420,1740,33087.56
2026-03-28 10:08:00,Every Second,1.638,252,,10,8,,36480,1800,34776.5
2026-03-28 10:09:00,Every Second,1.605,247,,10,9,,36540,1860,36487.76
2026-03-28 10:10:00,Every Second,1.618,249,,10,10,,36600,1920,38221.34
2026-03-28 10:11:00,Every Second,2.112,325,,10,11,,36660,1980,39977.24
2026-03-28 10:12:00,Every Second,2.204,339,,10,12,,36720,2040,41755.46
2026-03-28 10:13:00,Every Second,2.444,376,,10,13,,36780,2100,43556
2026-03-28 10:14:00,Every Second,2.535,390,,10,14,,36840,2160,45378.86
2026-03-28 10:15:00,Every Second,2.658,409,,10,15,,36900,2220,47224.04
2026-03-28 10:16:00,Every Second,2.984,459,,10,16,,36960,2280,49091.54
2026-03-28 10:17:00,Every Second,3.224,496,,10,17,,37020,2340,50981.36
2026-03-28 10:18:00,Every Second,2.964,456,,10,18,,37080,2400,52893.5
2026-03-28 10:19:00,Every Second,2.834,436,,10,19,,37140,2460,54827.96
2026-03-28 10:20:00,Every Second,3.211,494,,10,20,,37200,2520,58493.36000000001
2026-03-28 10:21:00,Every Second,3.139,483,,10,21,,37260,2580,59794.04000000001
2026-03-28 10:22:00,Every Second,3.178,489,,10,22,,37320,2640,61094.72000000001
2026-03-28 10:23:00,Every Second,3.211,494,,10,23,,37380,2700,62395.40000000001
2026-03-28 10:24:00,Every Second,3.406,524,,10,24,,37440,2760,63696.08
2026-03-28 10:25:00,Every Second,3.27,503,,10,25,,37500,2820,64996.76
2026-03-28 10:26:00,Every Second,3.25,500,,10,26,,37560,2880,66297.44
2026-03-28 10:27:00,Every Second,3.126,481,,10,27,,37620,2940,67598.12
2026-03-28 10:28:00,Every Second,2.99,460,,10,28,,37680,3000,68898.8
2026-03-28 10:29:00,Every Second,3.01,463,,10,29,,37740,3060,70199.48000000001
2026-03-28 10:30:00,Every Second,3.152,485,,10,30,,37800,3120,71500.16
2026-03-28 10:31:00,Every Second,3.139,483,,10,31,,37860,3180,72800.84000000001
2026-03-28 10:32:00,Every Second,3.01,463,,10,32,,37920,3240,74101.52
2026-03-28 10:33:00,Every Second,2.99,460,,10,33,,37980,3300,75402.20000000001
2026-03-28 10:34:00,Every Second,2.925,450,,10,34,,38040,3360,76702.88
2026-03-28 10:35:00,Every Second,2.808,432,,10,35,,38100,3420,78003.56000000001
2026-03-28 10:36:00,Every Second,2.717,418,,10,36,,38160,3480,79304.24
2026-03-28 10:37:00,Every Second,2.58,397,,10,37,,38220,3540,80604.92000000001
2026-03-28 10:38:00,Every Second,2.542,391,,10,38,,38280,3600,81905.6
2026-03-28 10:39:00,Every Second,2.47,380,,10,39,,38340,3660,79537.79999999999
2026-03-28 10:40:00,Every Second,2.658,409,,10,40,,38400,3720,75238.19999999995
2026-03-28 10:41:00,Every Second,2.892,445,,10,41,,38460,3780,71068.19999999995
2026-03-28 10:42:00,Every Second,3.289,506,,10,42,,38520,3840,67027.79999999999
2026-03-28 10:43:00,Every Second,3.036,467,,10,43,,38580,3900,63117
2026-03-28 10:44:00,Every Second,3.036,467,,10,44,,38640,3960,59335.80000000005
2026-03-28 10:45:00,Every Second,3.302,508,,10,45,,38700,4020,55684.19999999995
2026-03-28 10:46:00,Every Second,2.977,458,,10,46,,38760,4080,52162.19999999995
2026-03-28 10:47:00,Every Second,2.789,429,,10,47,,38820,4140,48769.80000000005
2026-03-28 10:49:00,Every Second,2.626,404,,10,49,,38940,4260,42373.80000000005
2026-03-28 10:50:00,Every Second,2.314,356,,10,50,,39000,4320,39370.19999999995
2026-03-28 10:51:00,Every Second,2.015,310,,10,51,,39060,4380,36496.19999999995
2026-03-28 10:52:00,Every Second,1.852,285,,10,52,,39120,4440,33751.80000000005
2026-03-28 10:53:00,Every Second,1.423,219,,10,53,,39180,4500,31137
2026-03-28 10:54:00,Every Second,1.092,168,,10,54,,39240,4560,28651.800000000047
2026-03-28 10:55:00,Every Second,1.17,180,,10,55,,39300,4620,26296.199999999953
2026-03-28 10:56:00,Every Second,0.767,118,,10,56,,39360,4680,24070.199999999953
2026-03-28 10:57:00,Every Second,0.786,121,,10,57,,39420,4740,21973.800000000047
2026-03-28 10:58:00,Every Second,0.604,93,,10,58,,39480,4800,20007
2026-03-28 10:59:00,Every Second,0.501,77,,10,59,,39540,4860,18169.800000000047
2026-03-28 11:00:00,Every Second,0.306,47,,11,0,,39600,4920,16462.199999999953
