,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,elapsed,altitude,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,ppm,oC,%
date,time,PM2.5,PM1.0,PM5.0,PM0.5,PM10,PM.3,CO2,temp,humidity,,time,hour,minute,second,total s,time (s),(ft),PM.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10,CO2,temp,humidity
2026-03-28, 08:38:39,012, 019, 015,009, 017,010,0401, 024,30,, 08:38:39,8,38,39,31119,,,10,9,19,12,15,17,401,24,30
2026-03-28, 08:38:44,012, 014, 015,010, 017,009,0419, 024,30,, 08:38:44,8,38,44,31124,,,9,10,14,12,15,17,419,24,30
2026-03-28, 08:38:49,011, 015, 012,008, 015,008,0445, 024,30,, 08:38:49,8,38,49,31129,,,8,8,15,11,12,15,445,24,30
2026-03-28, 08:38:54,012, 018, 013,009, 017,009,0402, 024,30,, 08:38:54,8,38,54,31134,,,9,9,18,12,13,17,402,24,30
2026-03-28, 08:38:59,011, 018, 012,008, 015,009,0433, 024,30,, 08:38:59,8,38,59,31139,,,9,8,18,11,12,15,433,24,30
2026-03-28, 08:39:04,012, 015, 013,009, 017,010,0435, 024,30,, 08:39:04,8,39,4,31144,,,10,9,15,12,13,17,435,24,30
2026-03-28, 08:39:09,011, 018, 012,009, 015,009,0432, 024,30,, 08:39:09,8,39,9,31149,,,9,9,18,11,12,15,432,24,30
2026-03-28, 08:39:14,014, 020, 016,012, 020,011,0438, 024,30,, 08:39:14,8,39,14,31154,,,11,12,20,14,16,20,438,24,30
2026-03-28, 08:39:19,013, 014, 014,011, 018,011,0415, 024,30,, 08:39:19,8,39,19,31159,,,11,11,14,13,14,18,415,24,30
2026-03-28, 08:39:24,015, 020, 016,013, 021,012,0435, 024,30,, 08:39:24,8,39,24,31164,,,12,13,20,15,16,21,435,24,30
2026-03-28, 08:39:29,014, 021, 018,011, 020,011,0436, 024,30,, 08:39:29,8,39,29,31169,,,11,11,21,14,18,20,436,24,30
2026-03-28, 08:39:34,015, 021, 018,013, 021,012,0417, 024,30,, 08:39:34,8,39,34,31174,,,12,13,21,15,18,21,417,24,30
2026-03-28, 08:39:39,015, 022, 016,012, 021,012,0446, 024,30,, 08:39:39,8,39,39,31179,,,12,12,22,15,16,21,446,24,30
2026-03-28, 08:39:44,012, 015, 013,009, 017,009,0442, 024,30,, 08:39:44,8,39,44,31184,,,9,9,15,12,13,17,442,24,30
2026-03-28, 08:39:49,012, 012, 013,010, 017,010,0445, 024,30,, 08:39:49,8,39,49,31189,,,10,10,12,12,13,17,445,24,30
2026-03-28, 08:39:54,013, 019, 014,010, 018,011,0414, 024,30,, 08:39:54,8,39,54,31194,,,11,10,19,13,14,18,414,24,30
2026-03-28, 08:39:59,012, 017, 013,009, 017,009,0420, 024,30,, 08:39:59,8,39,59,31199,,,9,9,17,12,13,17,420,24,30
2026-03-28, 08:40:04,013, 016, 014,011, 018,011,0419, 024,30,, 08:40:04,8,40,4,31204,,,11,11,16,13,14,18,419,24,30
2026-03-28, 08:40:09,013, 018, 014,010, 018,010,0420, 024,30,, 08:40:09,8,40,9,31209,,,10,10,18,13,14,18,420,24,30
2026-03-28, 08:40:14,011, 017, 012,008, 015,009,0400, 024,30,, 08:40:14,8,40,14,31214,,,9,8,17,11,12,15,400,24,30
2026-03-28, 08:40:19,012, 012, 013,010, 017,010,0420, 024,30,, 08:40:19,8,40,19,31219,,,10,10,12,12,13,17,420,24,30
2026-03-28, 08:40:24,013, 022, 014,011, 018,011,0445, 024,30,, 08:40:24,8,40,24,31224,,,11,11,22,13,14,18,445,24,30
2026-03-28, 08:40:29,011, 016, 012,009, 015,008,0417, 024,30,, 08:40:29,8,40,29,31229,,,8,9,16,11,12,15,417,24,30
2026-03-28, 08:40:34,014, 019, 016,011, 020,011,0428, 025,30,, 08:40:34,8,40,34,31234,,,11,11,19,14,16,20,428,25,30
2026-03-28, 08:40:39,011, 018, 012,008, 015,008,0420, 025,30,, 08:40:39,8,40,39,31239,,,8,8,18,11,12,15,420,25,30
2026-03-28, 08:40:44,012, 021, 013,010, 017,010,0421, 025,30,, 08:40:44,8,40,44,31244,,,10,10,21,12,13,17,421,25,30
2026-03-28, 08:40:49,011, 015, 012,009, 015,008,0427, 025,30,, 08:40:49,8,40,49,31249,,,8,9,15,11,12,15,427,25,30
2026-03-28, 08:40:54,013, 016, 014,010, 018,011,0425, 025,30,, 08:40:54,8,40,54,31254,,,11,10,16,13,14,18,425,25,30
2026-03-28, 08:40:59,016, 025, 019,012, 022,012,0421, 025,30,, 08:40:59,8,40,59,31259,,,12,12,25,16,19,22,421,25,30
2026-03-28, 08:41:04,013, 018, 016,011, 018,010,0422, 025,30,, 08:41:04,8,41,4,31264,,,10,11,18,13,16,18,422,25,30
2026-03-28, 08:41:09,012, 012, 013,010, 017,009,0429, 025,30,, 08:41:09,8,41,9,31269,,,9,10,12,12,13,17,429,25,30
2026-03-28, 08:41:14,012, 021, 013,010, 017,010,0426, 025,30,, 08:41:14,8,41,14,31274,,,10,10,21,12,13,17,426,25,30
2026-03-28, 08:41:19,012, 017, 013,009, 017,009,0423, 025,30,, 08:41:19,8,41,19,31279,,,9,9,17,12,13,17,423,25,30
2026-03-28, 08:41:24,011, 011, 013,008, 015,008,0423, 025,30,, 08:41:24,8,41,24,31284,,,8,8,11,11,13,15,423,25,30
2026-03-28, 08:41:29,012, 013, 013,010, 017,009,0424, 025,30,, 08:41:29,8,41,29,31289,,,9,10,13,12,13,17,424,25,30
2026-03-28, 08:41:34,012, 020, 015,009, 017,009,0424, 025,30,, 08:41:34,8,41,34,31294,,,9,9,20,12,15,17,424,25,30
2026-03-28, 08:41:39,011, 011, 012,008, 015,008,0422, 025,30,, 08:41:39,8,41,39,31299,,,8,8,11,11,12,15,422,25,30
2026-03-28, 08:41:44,012, 013, 015,010, 017,010,0427, 025,30,, 08:41:44,8,41,44,31304,,,10,10,13,12,15,17,427,25,30
2026-03-28, 08:41:49,012, 013, 015,010, 017,009,0425, 025,30,, 08:41:49,8,41,49,31309,,,9,10,13,12,15,17,425,25,30
2026-03-28, 08:41:54,013, 017, 016,011, 018,011,0423, 025,30,, 08:41:54,8,41,54,31314,,,11,11,17,13,16,18,423,25,30
2026-03-28, 08:41:59,013, 021, 014,011, 018,010,0422, 025,30,, 08:41:59,8,41,59,31319,,,10,11,21,13,14,18,422,25,30
2026-03-28, 08:42:04,013, 022, 016,011, 018,011,0423, 025,30,, 08:42:04,8,42,4,31324,,,11,11,22,13,16,18,423,25,30
2026-03-28, 08:42:09,012, 018, 013,010, 017,009,0421, 025,30,, 08:42:09,8,42,9,31329,,,9,10,18,12,13,17,421,25,30
2026-03-28, 08:42:14,013, 021, 016,011, 018,011,0427, 025,30,, 08:42:14,8,42,14,31334,,,11,11,21,13,16,18,427,25,30
2026-03-28, 08:42:19,015, 017, 018,013, 021,013,0422, 025,30,, 08:42:19,8,42,19,31339,,,13,13,17,15,18,21,422,25,30
2026-03-28, 08:42:24,013, 020, 014,010, 018,011,0428, 025,30,, 08:42:24,8,42,24,31344,,,11,10,20,13,14,18,428,25,30
2026-03-28, 08:42:29,012, 018, 013,009, 017,010,0427, 025,30,, 08:42:29,8,42,29,31349,,,10,9,18,12,13,17,427,25,30
2026-03-28, 08:42:34,013, 019, 014,011, 018,010,0424, 025,30,, 08:42:34,8,42,34,31354,,,10,11,19,13,14,18,424,25,30
2026-03-28, 08:42:39,012, 021, 015,010, 017,010,0426, 025,31,, 08:42:39,8,42,39,31359,,,10,10,21,12,15,17,426,25,31
2026-03-28, 08:42:44,012, 017, 013,009, 017,010,0424, 025,31,, 08:42:44,8,42,44,31364,,,10,9,17,12,13,17,424,25,31
2026-03-28, 08:42:49,011, 018, 013,008, 015,009,0427, 025,31,, 08:42:49,8,42,49,31369,,,9,8,18,11,13,15,427,25,31
2026-03-28, 08:42:54,012, 021, 013,010, 017,010,0422, 025,31,, 08:42:54,8,42,54,31374,,,10,10,21,12,13,17,422,25,31
2026-03-28, 08:42:59,012, 013, 015,010, 017,010,0427, 025,31,, 08:42:59,8,42,59,31379,,,10,10,13,12,15,17,427,25,31
2026-03-28, 08:43:04,013, 022, 014,011, 018,010,0425, 025,31,, 08:43:04,8,43,4,31384,,,10,11,22,13,14,18,425,25,31
2026-03-28, 08:43:09,011, 015, 012,008, 015,008,0424, 025,31,, 08:43:09,8,43,9,31389,,,8,8,15,11,12,15,424,25,31
2026-03-28, 08:43:14,012, 013, 015,009, 017,009,0425, 025,31,, 08:43:14,8,43,14,31394,,,9,9,13,12,15,17,425,25,31
2026-03-28, 08:43:19,011, 018, 012,009, 015,008,0423, 025,31,, 08:43:19,8,43,19,31399,,,8,9,18,11,12,15,423,25,31
2026-03-28, 08:43:24,012, 020, 013,009, 017,010,0423, 025,31,, 08:43:24,8,43,24,31404,,,10,9,20,12,13,17,423,25,31
2026-03-28, 08:43:29,013, 013, 014,010, 018,011,0424, 025,31,, 08:43:29,8,43,29,31409,,,11,10,13,13,14,18,424,25,31
2026-03-28, 08:43:34,014, 014, 018,011, 020,011,0421, 025,31,, 08:43:34,8,43,34,31414,,,11,11,14,14,18,20,421,25,31
2026-03-28, 08:43:39,011, 014, 013,009, 015,008,0425, 025,31,, 08:43:39,8,43,39,31419,,,8,9,14,11,13,15,425,25,31
2026-03-28, 08:43:44,012, 014, 013,009, 017,010,0423, 025,30,, 08:43:44,8,43,44,31424,,,10,9,14,12,13,17,423,25,30
2026-03-28, 08:43:49,012, 014, 015,010, 017,010,0423, 025,31,, 08:43:49,8,43,49,31429,,,10,10,14,12,15,17,423,25,31
2026-03-28, 08:43:54,012, 020, 015,009, 017,010,0425, 025,30,, 08:43:54,8,43,54,31434,,,10,9,20,12,15,17,425,25,30
2026-03-28, 08:43:59,013, 022, 014,010, 018,011,0425, 025,30,, 08:43:59,8,43,59,31439,,,11,10,22,13,14,18,425,25,30
2026-03-28, 08:44:04,015, 021, 016,012, 021,012,0420, 025,30,, 08:44:04,8,44,4,31444,,,12,12,21,15,16,21,420,25,30
2026-03-28, 08:44:09,018, 018, 022,016, 025,016,0427, 025,30,, 08:44:09,8,44,9,31449,,,16,16,18,18,22,25,427,25,30
2026-03-28, 08:44:14,026, 027, 029,023, 037,023,0421, 025,30,, 08:44:14,8,44,14,31454,,,23,23,27,26,29,37,421,25,30
2026-03-28, 08:44:19,022, 030, 024,017, 031,017,0423, 025,30,, 08:44:19,8,44,19,31459,,,17,17,30,22,24,31,423,25,30
2026-03-28, 08:44:24,014, 020, 016,012, 020,011,0428, 025,30,, 08:44:24,8,44,24,31464,,,11,12,20,14,16,20,428,25,30
2026-03-28, 08:44:29,011, 015, 012,009, 015,009,0422, 025,30,, 08:44:29,8,44,29,31469,,,9,9,15,11,12,15,422,25,30
2026-03-28, 08:44:34,012, 018, 013,010, 017,009,0428, 025,30,, 08:44:34,8,44,34,31474,,,9,10,18,12,13,17,428,25,30
2026-03-28, 08:44:39,012, 015, 015,010, 017,010,0425, 025,30,, 08:44:39,8,44,39,31479,,,10,10,15,12,15,17,425,25,30
2026-03-28, 08:44:44,013, 019, 014,011, 018,011,0428, 025,30,, 08:44:44,8,44,44,31484,,,11,11,19,13,14,18,428,25,30
2026-03-28, 08:44:49,011, 015, 012,008, 015,009,0425, 025,30,, 08:44:49,8,44,49,31489,,,9,8,15,11,12,15,425,25,30
2026-03-28, 08:44:54,012, 019, 015,009, 017,010,0427, 025,30,, 08:44:54,8,44,54,31494,,,10,9,19,12,15,17,427,25,30
2026-03-28, 08:44:59,012, 013, 013,010, 017,010,0428, 025,30,, 08:44:59,8,44,59,31499,,,10,10,13,12,13,17,428,25,30
2026-03-28, 08:45:04,011, 017, 012,009, 015,008,0429, 025,30,, 08:45:04,8,45,4,31504,,,8,9,17,11,12,15,429,25,30
2026-03-28, 08:45:09,012, 017, 015,009, 017,009,0424, 025,30,, 08:45:09,8,45,9,31509,,,9,9,17,12,15,17,424,25,30
2026-03-28, 08:45:14,013, 016, 016,011, 018,010,0425, 025,30,, 08:45:14,8,45,14,31514,,,10,11,16,13,16,18,425,25,30
2026-03-28, 08:45:19,013, 013, 016,010, 018,010,0425, 025,30,, 08:45:19,8,45,19,31519,,,10,10,13,13,16,18,425,25,30
2026-03-28, 08:45:24,015, 017, 018,012, 021,012,0424, 025,31,, 08:45:24,8,45,24,31524,,,12,12,17,15,18,21,424,25,31
2026-03-28, 08:45:29,013, 016, 016,010, 018,011,0428, 025,31,, 08:45:29,8,45,29,31529,,,11,10,16,13,16,18,428,25,31
2026-03-28, 08:45:34,014, 023, 018,012, 020,011,0421, 025,31,, 08:45:34,8,45,34,31534,,,11,12,23,14,18,20,421,25,31
2026-03-28, 08:45:39,013, 021, 014,010, 018,010,0423, 025,31,, 08:45:39,8,45,39,31539,,,10,10,21,13,14,18,423,25,31
2026-03-28, 08:45:44,012, 013, 015,009, 017,010,0422, 025,31,, 08:45:44,8,45,44,31544,,,10,9,13,12,15,17,422,25,31
2026-03-28, 08:45:49,012, 015, 013,009, 017,009,0422, 025,30,, 08:45:49,8,45,49,31549,,,9,9,15,12,13,17,422,25,30
2026-03-28, 08:45:54,013, 019, 016,010, 018,010,0427, 025,30,, 08:45:54,8,45,54,31554,,,10,10,19,13,16,18,427,25,30
2026-03-28, 08:45:59,011, 017, 013,009, 015,009,0429, 025,30,, 08:45:59,8,45,59,31559,,,9,9,17,11,13,15,429,25,30
2026-03-28, 08:46:04,011, 013, 012,009, 015,009,0428, 025,30,, 08:46:04,8,46,4,31564,,,9,9,13,11,12,15,428,25,30
2026-03-28, 08:46:09,012, 013, 015,009, 017,010,0429, 025,30,, 08:46:09,8,46,9,31569,,,10,9,13,12,15,17,429,25,30
2026-03-28, 08:46:14,011, 013, 012,008, 015,009,0424, 025,30,, 08:46:14,8,46,14,31574,,,9,8,13,11,12,15,424,25,30
2026-03-28, 08:46:19,012, 013, 013,010, 017,010,0429, 025,30,, 08:46:19,8,46,19,31579,,,10,10,13,12,13,17,429,25,30
2026-03-28, 08:46:24,013, 018, 016,010, 018,010,0420, 025,30,, 08:46:24,8,46,24,31584,,,10,10,18,13,16,18,420,25,30
2026-03-28, 08:46:29,011, 012, 012,008, 015,008,0423, 025,30,, 08:46:29,8,46,29,31589,,,8,8,12,11,12,15,423,25,30
2026-03-28, 08:46:34,014, 022, 016,011, 020,011,0426, 026,30,, 08:46:34,8,46,34,31594,,,11,11,22,14,16,20,426,26,30
2026-03-28, 08:46:39,014, 018, 016,011, 020,012,0426, 026,30,, 08:46:39,8,46,39,31599,,,12,11,18,14,16,20,426,26,30
2026-03-28, 08:46:44,012, 013, 015,009, 017,010,0427, 026,30,, 08:46:44,8,46,44,31604,,,10,9,13,12,15,17,427,26,30
2026-03-28, 08:46:49,012, 021, 015,009, 017,010,0425, 026,30,, 08:46:49,8,46,49,31609,,,10,9,21,12,15,17,425,26,30
2026-03-28, 08:46:54,013, 022, 014,010, 018,010,0428, 026,31,, 08:46:54,8,46,54,31614,,,10,10,22,13,14,18,428,26,31
2026-03-28, 08:46:59,014, 019, 016,011, 020,011,0428, 026,31,, 08:46:59,8,46,59,31619,,,11,11,19,14,16,20,428,26,31
2026-03-28, 08:47:04,013, 016, 014,010, 018,010,0421, 026,31,, 08:47:04,8,47,4,31624,,,10,10,16,13,14,18,421,26,31
2026-03-28, 08:47:09,014, 021, 018,011, 020,011,0426, 026,31,, 08:47:09,8,47,9,31629,,,11,11,21,14,18,20,426,26,31
2026-03-28, 08:47:14,012, 020, 015,010, 017,009,0425, 026,31,, 08:47:14,8,47,14,31634,,,9,10,20,12,15,17,425,26,31
2026-03-28, 08:47:19,012, 014, 013,009, 017,010,0427, 026,31,, 08:47:19,8,47,19,31639,,,10,9,14,12,13,17,427,26,31
2026-03-28, 08:47:24,011, 019, 013,008, 015,008,0423, 026,31,, 08:47:24,8,47,24,31644,,,8,8,19,11,13,15,423,26,31
2026-03-28, 08:47:29,012, 019, 015,010, 017,009,0421, 026,31,, 08:47:29,8,47,29,31649,,,9,10,19,12,15,17,421,26,31
2026-03-28, 08:47:34,013, 022, 014,010, 018,011,0424, 026,30,, 08:47:34,8,47,34,31654,,,11,10,22,13,14,18,424,26,30
2026-03-28, 08:47:39,011, 020, 013,008, 015,009,0429, 026,30,, 08:47:39,8,47,39,31659,,,9,8,20,11,13,15,429,26,30
2026-03-28, 08:47:44,014, 021, 016,012, 020,012,0428, 026,30,, 08:47:44,8,47,44,31664,,,12,12,21,14,16,20,428,26,30
2026-03-28, 08:47:49,012, 012, 013,010, 017,010,0423, 026,30,, 08:47:49,8,47,49,31669,,,10,10,12,12,13,17,423,26,30
2026-03-28, 08:47:54,013, 018, 014,011, 018,010,0427, 026,30,, 08:47:54,8,47,54,31674,,,10,11,18,13,14,18,427,26,30
2026-03-28, 08:47:59,013, 016, 016,010, 018,010,0429, 026,30,, 08:47:59,8,47,59,31679,,,10,10,16,13,16,18,429,26,30
2026-03-28, 08:48:04,013, 021, 014,010, 018,010,0423, 026,30,, 08:48:04,8,48,4,31684,,,10,10,21,13,14,18,423,26,30
2026-03-28, 08:48:09,013, 020, 016,010, 018,011,0423, 026,30,, 08:48:09,8,48,9,31689,,,11,10,20,13,16,18,423,26,30
2026-03-28, 08:48:14,013, 019, 014,010, 018,011,0423, 026,30,, 08:48:14,8,48,14,31694,,,11,10,19,13,14,18,423,26,30
2026-03-28, 08:48:19,013, 014, 016,011, 018,011,0423, 026,30,, 08:48:19,8,48,19,31699,,,11,11,14,13,16,18,423,26,30
2026-03-28, 08:48:24,013, 021, 014,010, 018,011,0422, 026,30,, 08:48:24,8,48,24,31704,,,11,10,21,13,14,18,422,26,30
2026-03-28, 08:48:29,014, 022, 016,011, 020,012,0420, 026,30,, 08:48:29,8,48,29,31709,,,12,11,22,14,16,20,420,26,30
2026-03-28, 08:48:34,011, 012, 012,009, 015,009,0421, 026,30,, 08:48:34,8,48,34,31714,,,9,9,12,11,12,15,421,26,30
2026-03-28, 08:48:39,012, 013, 015,009, 017,010,0425, 026,30,, 08:48:39,8,48,39,31719,,,10,9,13,12,15,17,425,26,30
2026-03-28, 08:48:44,013, 017, 014,010, 018,010,0427, 026,30,, 08:48:44,8,48,44,31724,,,10,10,17,13,14,18,427,26,30
2026-03-28, 08:48:49,013, 019, 016,011, 018,010,0422, 026,30,, 08:48:49,8,48,49,31729,,,10,11,19,13,16,18,422,26,30
2026-03-28, 08:48:54,014, 016, 018,011, 020,012,0420, 026,30,, 08:48:54,8,48,54,31734,,,12,11,16,14,18,20,420,26,30
2026-03-28, 08:48:59,012, 017, 013,010, 017,009,0422, 026,30,, 08:48:59,8,48,59,31739,,,9,10,17,12,13,17,422,26,30
2026-03-28, 08:49:04,013, 016, 016,011, 018,011,0428, 026,30,, 08:49:04,8,49,4,31744,,,11,11,16,13,16,18,428,26,30
2026-03-28, 08:49:09,013, 014, 014,010, 018,011,0427, 026,30,, 08:49:09,8,49,9,31749,,,11,10,14,13,14,18,427,26,30
2026-03-28, 08:49:14,013, 014, 016,010, 018,011,0426, 026,30,, 08:49:14,8,49,14,31754,,,11,10,14,13,16,18,426,26,30
2026-03-28, 08:49:19,011, 019, 012,008, 015,008,0421, 026,30,, 08:49:19,8,49,19,31759,,,8,8,19,11,12,15,421,26,30
2026-03-28, 08:49:24,014, 018, 018,012, 020,012,0422, 026,30,, 08:49:24,8,49,24,31764,,,12,12,18,14,18,20,422,26,30
2026-03-28, 08:49:29,012, 013, 015,010, 017,009,0427, 026,30,, 08:49:29,8,49,29,31769,,,9,10,13,12,15,17,427,26,30
2026-03-28, 08:49:34,013, 016, 016,010, 018,011,0427, 026,30,, 08:49:34,8,49,34,31774,,,11,10,16,13,16,18,427,26,30
2026-03-28, 08:49:39,013, 021, 014,011, 018,011,0424, 026,30,, 08:49:39,8,49,39,31779,,,11,11,21,13,14,18,424,26,30
2026-03-28, 08:49:44,013, 013, 014,011, 018,011,0429, 026,30,, 08:49:44,8,49,44,31784,,,11,11,13,13,14,18,429,26,30
2026-03-28, 08:49:49,013, 022, 014,011, 018,011,0423, 026,30,, 08:49:49,8,49,49,31789,,,11,11,22,13,14,18,423,26,30
2026-03-28, 08:49:54,013, 018, 016,011, 018,010,0427, 026,30,, 08:49:54,8,49,54,31794,,,10,11,18,13,16,18,427,26,30
2026-03-28, 08:49:59,014, 017, 018,011, 020,012,0425, 026,30,, 08:49:59,8,49,59,31799,,,12,11,17,14,18,20,425,26,30
2026-03-28, 08:50:04,014, 021, 016,012, 020,012,0429, 026,30,, 08:50:04,8,50,4,31804,,,12,12,21,14,16,20,429,26,30
2026-03-28, 08:50:09,015, 020, 016,012, 021,012,0427, 026,30,, 08:50:09,8,50,9,31809,,,12,12,20,15,16,21,427,26,30
2026-03-28, 08:50:14,013, 013, 014,011, 018,011,0425, 026,30,, 08:50:14,8,50,14,31814,,,11,11,13,13,14,18,425,26,30
2026-03-28, 08:50:19,014, 021, 018,012, 020,012,0420, 026,30,, 08:50:19,8,50,19,31819,,,12,12,21,14,18,20,420,26,30
2026-03-28, 08:50:24,014, 022, 018,012, 020,012,0424, 026,30,, 08:50:24,8,50,24,31824,,,12,12,22,14,18,20,424,26,30
2026-03-28, 08:50:29,012, 018, 015,010, 017,009,0425, 026,30,, 08:50:29,8,50,29,31829,,,9,10,18,12,15,17,425,26,30
2026-03-28, 08:50:34,013, 020, 014,010, 018,010,0425, 026,30,, 08:50:34,8,50,34,31834,,,10,10,20,13,14,18,425,26,30
2026-03-28, 08:50:39,012, 018, 013,010, 017,009,0421, 026,30,, 08:50:39,8,50,39,31839,,,9,10,18,12,13,17,421,26,30
2026-03-28, 08:50:44,013, 020, 016,010, 018,010,0425, 026,30,, 08:50:44,8,50,44,31844,,,10,10,20,13,16,18,425,26,30
2026-03-28, 08:50:49,011, 013, 013,009, 015,009,0428, 026,30,, 08:50:49,8,50,49,31849,,,9,9,13,11,13,15,428,26,30
2026-03-28, 08:50:54,012, 015, 013,010, 017,009,0427, 026,30,, 08:50:54,8,50,54,31854,,,9,10,15,12,13,17,427,26,30
2026-03-28, 08:50:59,013, 020, 016,010, 018,010,0421, 026,30,, 08:50:59,8,50,59,31859,,,10,10,20,13,16,18,421,26,30
2026-03-28, 08:51:04,011, 017, 012,008, 015,009,0420, 026,30,, 08:51:04,8,51,4,31864,,,9,8,17,11,12,15,420,26,30
2026-03-28, 08:51:09,012, 016, 013,010, 017,009,0426, 026,30,, 08:51:09,8,51,9,31869,,,9,10,16,12,13,17,426,26,30
2026-03-28, 08:51:14,011, 016, 012,008, 015,009,0422, 026,30,, 08:51:14,8,51,14,31874,,,9,8,16,11,12,15,422,26,30
2026-03-28, 08:51:19,012, 021, 015,009, 017,009,0425, 026,30,, 08:51:19,8,51,19,31879,,,9,9,21,12,15,17,425,26,30
2026-03-28, 08:51:24,011, 018, 012,008, 015,009,0427, 026,30,, 08:51:24,8,51,24,31884,,,9,8,18,11,12,15,427,26,30
2026-03-28, 08:51:29,012, 016, 015,009, 017,009,0427, 026,30,, 08:51:29,8,51,29,31889,,,9,9,16,12,15,17,427,26,30
2026-03-28, 08:51:34,011, 013, 012,008, 015,009,0425, 026,30,, 08:51:34,8,51,34,31894,,,9,8,13,11,12,15,425,26,30
2026-03-28, 08:51:39,012, 020, 015,010, 017,009,0424, 026,30,, 08:51:39,8,51,39,31899,,,9,10,20,12,15,17,424,26,30
2026-03-28, 08:51:44,012, 016, 015,010, 017,009,0426, 026,30,, 08:51:44,8,51,44,31904,,,9,10,16,12,15,17,426,26,30
2026-03-28, 08:51:49,011, 020, 013,009, 015,008,0424, 026,30,, 08:51:49,8,51,49,31909,,,8,9,20,11,13,15,424,26,30
2026-03-28, 08:51:54,012, 021, 015,010, 017,010,0425, 026,30,, 08:51:54,8,51,54,31914,,,10,10,21,12,15,17,425,26,30
2026-03-28, 08:51:59,013, 017, 014,011, 018,011,0422, 026,30,, 08:51:59,8,51,59,31919,,,11,11,17,13,14,18,422,26,30
2026-03-28, 08:52:04,011, 019, 012,008, 015,009,0426, 026,30,, 08:52:04,8,52,4,31924,,,9,8,19,11,12,15,426,26,30
2026-03-28, 08:52:09,012, 018, 013,010, 017,009,0426, 026,30,, 08:52:09,8,52,9,31929,,,9,10,18,12,13,17,426,26,30
2026-03-28, 08:52:14,012, 020, 013,009, 017,010,0424, 026,30,, 08:52:14,8,52,14,31934,,,10,9,20,12,13,17,424,26,30
2026-03-28, 08:52:19,013, 018, 016,011, 018,011,0429, 026,30,, 08:52:19,8,52,19,31939,,,11,11,18,13,16,18,429,26,30
2026-03-28, 08:52:24,011, 011, 013,008, 015,008,0430, 026,31,, 08:52:24,8,52,24,31944,,,8,8,11,11,13,15,430,26,31
2026-03-28, 08:52:29,012, 020, 013,009, 017,010,0435, 026,31,, 08:52:29,8,52,29,31949,,,10,9,20,12,13,17,435,26,31
2026-03-28, 08:52:34,013, 020, 016,010, 018,010,0438, 026,31,, 08:52:34,8,52,34,31954,,,10,10,20,13,16,18,438,26,31
2026-03-28, 08:52:39,013, 020, 014,011, 018,011,0432, 026,31,, 08:52:39,8,52,39,31959,,,11,11,20,13,14,18,432,26,31
2026-03-28, 08:52:44,013, 017, 014,011, 018,010,0427, 026,31,, 08:52:44,8,52,44,31964,,,10,11,17,13,14,18,427,26,31
2026-03-28, 08:52:49,013, 019, 016,010, 018,011,0428, 026,31,, 08:52:49,8,52,49,31969,,,11,10,19,13,16,18,428,26,31
2026-03-28, 08:52:54,012, 017, 013,009, 017,010,0429, 026,31,, 08:52:54,8,52,54,31974,,,10,9,17,12,13,17,429,26,31
2026-03-28, 08:52:59,013, 014, 016,011, 018,010,0424, 026,31,, 08:52:59,8,52,59,31979,,,10,11,14,13,16,18,424,26,31
2026-03-28, 08:53:04,012, 015, 013,010, 017,009,0425, 026,31,, 08:53:04,8,53,4,31984,,,9,10,15,12,13,17,425,26,31
2026-03-28, 08:53:09,014, 021, 016,011, 020,011,0425, 026,31,, 08:53:09,8,53,9,31989,,,11,11,21,14,16,20,425,26,31
2026-03-28, 08:53:14,014, 022, 018,012, 020,011,0425, 026,31,, 08:53:14,8,53,14,31994,,,11,12,22,14,18,20,425,26,31
2026-03-28, 08:53:19,012, 014, 013,009, 017,009,0423, 026,31,, 08:53:19,8,53,19,31999,,,9,9,14,12,13,17,423,26,31
2026-03-28, 08:53:24,013, 013, 014,011, 018,010,0425, 026,31,, 08:53:24,8,53,24,32004,,,10,11,13,13,14,18,425,26,31
2026-03-28, 08:53:29,013, 020, 016,011, 018,011,0429, 026,31,, 08:53:29,8,53,29,32009,,,11,11,20,13,16,18,429,26,31
2026-03-28, 08:53:34,012, 016, 015,009, 017,010,0427, 026,31,, 08:53:34,8,53,34,32014,,,10,9,16,12,15,17,427,26,31
2026-03-28, 08:53:39,013, 021, 014,010, 018,011,0424, 026,31,, 08:53:39,8,53,39,32019,,,11,10,21,13,14,18,424,26,31
2026-03-28, 08:53:44,020, 020, 025,016, 028,018,0429, 026,31,, 08:53:44,8,53,44,32024,,,18,16,20,20,25,28,429,26,31
2026-03-28, 08:53:49,015, 019, 018,012, 021,013,0429, 026,31,, 08:53:49,8,53,49,32029,,,13,12,19,15,18,21,429,26,31
2026-03-28, 08:53:54,014, 021, 016,012, 020,012,0420, 026,31,, 08:53:54,8,53,54,32034,,,12,12,21,14,16,20,420,26,31
2026-03-28, 08:53:59,012, 020, 015,009, 017,010,0428, 026,31,, 08:53:59,8,53,59,32039,,,10,9,20,12,15,17,428,26,31
2026-03-28, 08:54:04,013, 016, 014,010, 018,010,0429, 026,31,, 08:54:04,8,54,4,32044,,,10,10,16,13,14,18,429,26,31
